证券代码,股票代码,证券名称,公司中文名称,公司英文名称,股票种类,是否上市
000516.SZ,516,国际医学,西安国际医学投资股份有限公司,XI'AN INTERNATIONAL MEDICAL INVESTMENT COMPANY LIMITED,A股,上市
000517.SZ,517,荣安地产,荣安地产股份有限公司,"RONGAN PROPERTY CO.,LTD.",A股,上市
000518.SZ,518,四环生物,江苏四环生物股份有限公司,"Jiangsu Sihuan Bioengineering Co.,Ltd",A股,上市
000519.SZ,519,中兵红箭,中兵红箭股份有限公司,"North Industries Group Red Arrow Co.,Ltd.",A股,上市
000520.SZ,520,长航凤凰,长航凤凰股份有限公司,"Chang Jiang Shipping Group Phoenix Co.,Ltd.",A股,上市
000521.SZ,521,长虹美菱,长虹美菱股份有限公司,"Changhong Meiling Co.,Ltd.",A股,上市
000523.SZ,523,广州浪奇,广州市浪奇实业股份有限公司,"Lonkey Industrial Co.Ltd., Guangzhou",A股,上市
000524.SZ,524,岭南控股,广州岭南集团控股股份有限公司,Guangzhou Lingnan Group Holdings Company Limited,A股,上市
000525.SZ,525,ST红太阳,南京红太阳股份有限公司,"Nanjing Red Sun Co.,Ltd.",A股,上市
000526.SZ,526,学大教育,学大(厦门)教育科技集团股份有限公司,"XUEDA (XIAMEN) EDUCATION TECHNOLOGY GROUP CO.,LTD",A股,上市
000528.SZ,528,柳工,广西柳工机械股份有限公司,"Guangxi Liugong Machinery Co.,Ltd.",A股,上市
000529.SZ,529,广弘控股,广东广弘控股股份有限公司,"GuangDong GuangHong Holdings Co.,Ltd.",A股,上市
000530.SZ,530,冰山冷热,冰山冷热科技股份有限公司,"Bingshan Refrigeration & Heat Transfer Technologies Co.,Ltd.",A股,上市
000531.SZ,531,穗恒运A,广州恒运企业集团股份有限公司,Guangzhou Hengyun Enterprises Holdings Ltd.,A股,上市
000532.SZ,532,华金资本,珠海华金资本股份有限公司,"Zhuhai Huajin Capital Co., Ltd.",A股,上市
000533.SZ,533,顺钠股份,广东顺钠电气股份有限公司,"Guangdong  Shunna  Electric  Co., Ltd.",A股,上市
000534.SZ,534,万泽股份,万泽实业股份有限公司,"Wedge Industrial Co., Ltd.",A股,上市
000536.SZ,536,华映科技,华映科技(集团)股份有限公司,"CPT TECHNOLOGY (GROUP) CO.,LTD.",A股,上市
000537.SZ,537,广宇发展,天津广宇发展股份有限公司,"Tianjin Guangyu Development Co.,Ltd.",A股,上市
000538.SZ,538,云南白药,云南白药集团股份有限公司,"YUNNAN BAIYAO GROUP CO.,LTD",A股,上市
000539.SZ,539,粤电力A,广东电力发展股份有限公司,"Guangdong Electric Power Development Co.,Ltd.",A股,上市
000540.SZ,540,中天金融,中天金融集团股份有限公司,Zhongtian Financial Group Company Limited,A股,上市
000541.SZ,541,佛山照明,佛山电器照明股份有限公司,"Foshan Electrical And Lighting Co.,Ltd",A股,上市
000543.SZ,543,皖能电力,安徽省皖能股份有限公司,AN HUI WENERGY COMPANY LIMITED,A股,上市
000544.SZ,544,中原环保,中原环保股份有限公司,"CENTRAL PLAINS ENVIRONMENT PROTECTION CO.,LTD",A股,上市
000545.SZ,545,金浦钛业,金浦钛业股份有限公司,"GPRO TITANIUM INDUSTRY CO.,LTD",A股,上市
000546.SZ,546,金圆股份,金圆环保股份有限公司,"Jinyuan EP Co.,Ltd.",A股,上市
000547.SZ,547,航天发展,航天工业发展股份有限公司,"Addsino Co.,Ltd",A股,上市
000548.SZ,548,湖南投资,湖南投资集团股份有限公司,"Hunan Investment Group Co.,Ltd.",A股,上市
000550.SZ,550,江铃汽车,江铃汽车股份有限公司,"Jiangling Motors Corporation, Ltd.",A股,上市
000551.SZ,551,创元科技,创元科技股份有限公司,"CREATE TECHNOLOGY & SCIENCE CO.,LTD.",A股,上市
000552.SZ,552,靖远煤电,甘肃靖远煤电股份有限公司,"Gansu Jingyuan Coal Industry And Electricity Power Co.,Ltd.",A股,上市
000553.SZ,553,安道麦A,安道麦股份有限公司,ADAMA Ltd.,A股,上市
000554.SZ,554,泰山石油,中国石化山东泰山石油股份有限公司,"SINOPEC Shandong Taishan Pectroleum CO.,LTD.",A股,上市
000555.SZ,555,神州信息,神州数码信息服务股份有限公司,Digital China Information Service Company Ltd.,A股,上市
000557.SZ,557,西部创业,宁夏西部创业实业股份有限公司,"Ningxia Western Venture Industrial Co., Ltd.",A股,上市
000558.SZ,558,莱茵体育,莱茵达体育发展股份有限公司,"Lander Sports Development Co.,Ltd.",A股,上市
000559.SZ,559,万向钱潮,万向钱潮股份公司,"WANXIANG QIANCHAO CO.,LTD.",A股,上市
000560.SZ,560,我爱我家,我爱我家控股集团股份有限公司,"5i5j Holding Group Co., Ltd.",A股,上市
000561.SZ,561,烽火电子,陕西烽火电子股份有限公司,"Shanxi Fenghuo Electronics Co., Ltd.",A股,上市
000563.SZ,563,陕国投A,陕西省国际信托股份有限公司,"SHAANXI INTERNATIONAL TRUST CO.,LTD.",A股,上市
000564.SZ,564,*ST大集,供销大集集团股份有限公司,"Ccoop Group Co.,Ltd.",A股,上市
000565.SZ,565,渝三峡A,重庆三峡油漆股份有限公司,"Chongqing Sanxia Paints Co.,Ltd.",A股,上市
000566.SZ,566,海南海药,海南海药股份有限公司,"Hainan Haiyao Co.,Ltd.",A股,上市
000567.SZ,567,海德股份,海南海德资本管理股份有限公司,"HAINAN HAIDE CAPITAL MANAGEMENT CO.,LTD.",A股,上市
000568.SZ,568,泸州老窖,泸州老窖股份有限公司,"Luzhou Laojiao CO.,LTD",A股,上市
000570.SZ,570,苏常柴A,常柴股份有限公司,"Changchai Company,Limited",A股,上市
000571.SZ,571,ST大洲,新大洲控股股份有限公司,"SUNDIRO HOLDING CO., LTD.",A股,上市
000572.SZ,572,海马汽车,海马汽车股份有限公司,"Haima Automobile Co.,Ltd.",A股,上市
000573.SZ,573,粤宏远A,东莞宏远工业区股份有限公司,DongGuan Winnerway Industry Zone LTD.,A股,上市
000576.SZ,576,甘化科工,广东甘化科工股份有限公司,"Guangdong Ganhua Science & Industry Co., Ltd.",A股,上市
000581.SZ,581,威孚高科,无锡威孚高科技集团股份有限公司,"Weifu High-Technology Group Co.,Ltd.",A股,上市
000582.SZ,582,北部湾港,北部湾港股份有限公司,"Beibu Gulf Port Co., Ltd.",A股,上市
000584.SZ,584,哈工智能,江苏哈工智能机器人股份有限公司,"Jiangsu Hagong Intelligent Robot Co.,Ltd",A股,上市
000586.SZ,586,汇源通信,四川汇源光通信股份有限公司,"Sichuan Huiyuan Optical Communications Co.,Ltd.",A股,上市
000587.SZ,587,*ST金洲,金洲慈航集团股份有限公司,"Jinzhou Cihang Group Co., Ltd",A股,上市
000589.SZ,589,贵州轮胎,贵州轮胎股份有限公司,"Gui Zhou Tyre Co.,Ltd.",A股,上市
000590.SZ,590,启迪药业,启迪药业集团股份公司,"TUS- PHARMACEUTICAL GROUP CO., LTD.",A股,上市
000591.SZ,591,太阳能,中节能太阳能股份有限公司,"Cecep Solar Energy Co.,Ltd.",A股,上市
000592.SZ,592,平潭发展,中福海峡(平潭)发展股份有限公司,Zhongfu Straits (pingtan) Development Company Limited,A股,上市
000593.SZ,593,德龙汇能,德龙汇能集团股份有限公司,"DELONG COMPOSITE ENERGY GROUP CO., LTD",A股,上市
000595.SZ,595,宝塔实业,宝塔实业股份有限公司,"Baota Industry Co.,Ltd.",A股,上市
000596.SZ,596,古井贡酒,安徽古井贡酒股份有限公司,Anhui Gujing Distillery Company Limited,A股,上市
000597.SZ,597,东北制药,东北制药集团股份有限公司,"NORTHEAST PHARMACEUTICAL GROUP CO.,LTD.",A股,上市
000598.SZ,598,兴蓉环境,成都市兴蓉环境股份有限公司,"Chengdu Xingrong Environment Co., Ltd.",A股,上市
000599.SZ,599,青岛双星,青岛双星股份有限公司,"Qingdao Doublestar Co.,Ltd.",A股,上市
000600.SZ,600,建投能源,河北建投能源投资股份有限公司,"Jointo Energy Investment Co.,Ltd. Hebei.",A股,上市
000601.SZ,601,韶能股份,广东韶能集团股份有限公司,"Guangdong Shaoneng Group Co.,Ltd.",A股,上市
000603.SZ,603,盛达资源,盛达金属资源股份有限公司,"Shengda Resources Co.,Ltd.",A股,上市
000605.SZ,605,渤海股份,渤海水业股份有限公司,"Bohai Water Industry Co., Ltd.",A股,上市
000606.SZ,606,*ST顺利,顺利办信息服务股份有限公司,"Shunliban Information Service Co.,Ltd",A股,上市
000607.SZ,607,华媒控股,浙江华媒控股股份有限公司,"Zhejiang Huamei Holding CO., LTD.",A股,上市
000608.SZ,608,阳光股份,阳光新业地产股份有限公司,"Yang Guang Co.,Ltd.",A股,上市
000609.SZ,609,中迪投资,北京中迪投资股份有限公司,"Beijing Zodi Investment Co., Ltd.",A股,上市
000610.SZ,610,西安旅游,西安旅游股份有限公司,"XI'AN TOURISM CO., LTD.",A股,上市
000611.SZ,611,*ST天首,内蒙古天首科技发展股份有限公司,"Inner Mongolia TianShou Technology&development, Co.,Ltd.",A股,上市
000612.SZ,612,焦作万方,焦作万方铝业股份有限公司,"Jiao Zuo Wan Fang Aluminum Manufacturing Co.,Ltd.",A股,上市
000613.SZ,613,*ST东海A,海南大东海旅游中心股份有限公司,"Hainan Dadonghai Tourism Centre (Holdings) Co.,Ltd.",A股,上市
000615.SZ,615,奥园美谷,奥园美谷科技股份有限公司,"Aoyuan Beauty Valley Technology Co.,Ltd.",A股,上市
000616.SZ,616,ST海投,海航投资集团股份有限公司,"HNA INVESTMENT GROUP CO.,LTD.",A股,上市
